,Rank,Song,Album,Singer
0,1,롤린 (Rollin'),Rollin',아티스트
1,2,라일락,IU 5th Album 'LILAC',브레이브걸스
2,3,운전만해 (We Ride),We Ride,아이유 (IU)
3,4,"Peaches (feat. Daniel Caesar, Giveon) (Explicit Ver.)",Justice,브레이브걸스
4,5,Celebrity,IU 5th Album 'LILAC',Justin Bieber
5,6,Timeless,Sg Wanna Be+,아이유 (IU)
6,7,라라라,My Friend,SG워너비
7,8,마.피.아. In the morning,GUESS WHO,SG워너비
8,9,내사람: Partner For Life,The 3rd Masterpiece,ITZY (있지)
9,10,Coin,IU 5th Album 'LILAC',SG워너비
10,11,Dynamite,Dynamite (DayTime Version),아이유 (IU)
11,12,밤하늘의 별을 (2020),밤하늘의 별을 (2020),방탄소년단
12,13,어푸 (Ah puh),IU 5th Album 'LILAC',경서
13,14,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",아이유 (IU)
14,15,살다가,살다가,양요섭& 정은지
15,16,그냥 안아달란 말야,그냥 안아달란 말야,SG워너비
16,17,Love poem,Love poem,다비치
17,18,취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (취향저격 그녀 X 산들),아이유 (IU)
18,19,Lovesick Girls,THE ALBUM,산들
19,20,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),BLACKPINK
20,21,내 손을 잡아,최고의 사랑 OST - Part.4,10CM
21,22,ASAP,STAYDOM,아이유 (IU)
22,23,On The Ground,R,STAYC (스테이씨)
23,24,잠이 오질 않네요,잠이 오질 않네요,로제 (ROSÉ)
24,25,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,장범준
25,26,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,폴킴
26,27,나랑 같이 걸을래 (바른연애 길잡이 X 적재),나랑 같이 걸을래 (바른연애 길잡이 X 적재),AKMU (악동뮤지션)
27,28,밤편지,밤편지,적재
28,29,Blueming,Love poem,아이유 (IU)
29,30,에잇 (Prod. & Feat. SUGA of BTS),에잇,아이유 (IU)
30,31,Flu,IU 5th Album 'LILAC',아이유 (IU)
31,32,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,아이유 (IU)
32,33,Dolphin,NONSTOP,노을
33,34,밝게 빛나는 별이 되어 비춰줄게,밝게 빛나는 별이 되어 비춰줄게,오마이걸 (OH MY GIRL)
34,35,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",사이렌 Remix,송이한
35,36,죄와 벌,살다가,호미들
36,37,불어온다,The Blowing,SG워너비
37,38,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,하이라이트 (Highlight)
38,39,Savage Love (Laxed - Siren Beat) (BTS Remix/Explicit Ver.),Savage Love (Laxed - Siren Beat) [BTS Remix],장범준
39,40,힘든 건 사랑이 아니다,힘든 건 사랑이 아니다,Jawsh 685& Jason Derülo&
40,41,봄 안녕 봄,IU 5th Album 'LILAC',임창정
41,42,아이와 나의 바다,IU 5th Album 'LILAC',아이유 (IU)
42,43,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,아이유 (IU)
43,44,2002,Speak Your Mind (Deluxe),방탄소년단& Halsey
44,45,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),Anne-Marie
45,46,살짝 설렜어 (Nonstop),NONSTOP,규현 (KYUHYUN)
46,47,그날에 나는 맘이 편했을까,그날에 나는 맘이 편했을까,오마이걸 (OH MY GIRL)
47,48,너를 만나,너를 만나,이예준
48,49,At My Worst,The Prelude,폴킴
49,50,너의 번호를 누르고 (Prod. 영화처럼),너의 번호를 누르고,Pink Sweat$
50,51,How You Like That,How You Like That,#안녕
51,52,Memories,Memories,BLACKPINK
52,53,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),Maroon 5
53,54,오래된 노래,오래된 노래,케이시 (Kassy)
54,55,아리랑,The Sentimental Chord,스탠딩 에그
55,56,사계 (Four Seasons),사계 (Four Seasons),SG워너비
56,57,돌림노래 (Feat. DEAN),IU 5th Album 'LILAC',태연 (TAEYEON)
57,58,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),쇼미더머니 9 Episode 1,아이유 (IU)
58,59,롤린 (New Version),롤린 (New Version) (New Version),미란이 (Mirani)& 먼치맨 (MUNCHMAN)
59,60,추억은 만남보다 이별에 남아,추억은 만남보다 이별에 남아,브레이브걸스
60,61,사실 나는 (Feat.전건호),사실 나는,정동하
61,62,METEOR,Boyhood,경서예지
62,63,When We Disco (Duet with 선미),When We Disco,창모 (CHANGMO)
63,64,Life Goes On,BE,박진영
64,65,에필로그,IU 5th Album 'LILAC',방탄소년단
